strategy_name,variant,uses_sentiment,tilt_strength,evaluation_period,cost_rate_bps_one_way,cost_rate_decimal_one_way,transaction_cost_formula,turnover_definition,initial_establishment_included,charged_rebalances,total_one_way_turnover,gross_annualised_return,net_annualised_return,annualised_return_cost_impact,gross_sharpe_ratio,net_sharpe_ratio,sharpe_ratio_cost_impact,gross_final_growth_of_1,net_final_growth_of_1,final_growth_cost_impact,net_annualised_return_difference_vs_base,net_sharpe_ratio_difference_vs_base
Equity Equal Weight,Base,False,0.0,2021-01-04 to 2023-12-29,0.0,0.0,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,0.9533748669333082,0.1264237978181748,0.1264237978181748,0.0,0.8192923665597752,0.8192923665597744,-7.771561172376096e-16,1.4272168148150326,1.4272168148150326,0.0,0.0,0.0
Equity Equal Weight + Sector Sentiment,Sentiment fusion,True,0.5,2021-01-04 to 2023-12-29,0.0,0.0,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,1.3788471125369766,0.12280438781665182,0.12280438781665182,0.0,0.8008304889509313,0.8008304889509293,-1.9984014443252818e-15,1.4135573889972775,1.4135573889972775,0.0,-0.0036194100015229935,-0.0184618776088451
Equity Equal Weight,Base,False,0.0,2021-01-04 to 2023-12-29,5.0,0.0005,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,0.9533748669333082,0.1264237978181748,0.12624411374600264,-0.00017968407217217042,0.8192923665597752,0.8183193867314953,-0.0009729798282799296,1.4272168148150326,1.4265366357098934,-0.0006801791051391781,0.0,0.0
Equity Equal Weight + Sector Sentiment,Sentiment fusion,True,0.5,2021-01-04 to 2023-12-29,5.0,0.0005,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,1.3788471125369766,0.12280438781665182,0.12254535779194464,-0.0002590300247071742,0.8008304889509313,0.7994159375756552,-0.0014145513752761296,1.4135573889972775,1.412583175174128,-0.000974213823149439,-0.0036987559540579973,-0.01890344915584008
Equity Equal Weight,Base,False,0.0,2021-01-04 to 2023-12-29,10.0,0.001,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,0.9533748669333082,0.1264237978181748,0.12606445574084346,-0.00035934207733134826,0.8192923665597752,0.8173462863089085,-0.001946080250866733,1.4272168148150326,1.4258567709415157,-0.0013600438735168474,0.0,0.0
Equity Equal Weight + Sector Sentiment,Sentiment fusion,True,0.5,2021-01-04 to 2023-12-29,10.0,0.001,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,1.3788471125369766,0.12280438781665182,0.12228638225034971,-0.0005180055663021044,0.8008304889509313,0.79800115439693,-0.0028293345540013615,1.4135573889972775,1.4116096129470261,-0.0019477760502513153,-0.0037780734904937496,-0.019345131911978508
Equity Equal Weight,Base,False,0.0,2021-01-04 to 2023-12-29,25.0,0.0025,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,0.9533748669333082,0.1264237978181748,0.1255256380933636,-0.0008981597248112205,0.8192923665597752,0.8144262638155002,-0.004866102744275014,1.4272168148150326,1.4238190612498498,-0.003397753565182793,0.0,0.0
Equity Equal Weight + Sector Sentiment,Sentiment fusion,True,0.5,2021-01-04 to 2023-12-29,25.0,0.0025,net rebalance-day return = (1 - one-way turnover * cost rate) * (1 + gross return) - 1,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,35,1.3788471125369766,0.12280438781665182,0.12150978242069388,-0.0012946053959579373,0.8008304889509313,0.7937554210784384,-0.007075067872492902,1.4135573889972775,1.408692831617593,-0.004864557379684387,-0.00401585567266971,-0.020670842737061768
