strategy_name,variant,portfolio_method,asset_family,uses_sentiment,evaluation_period,evaluation_start_date,evaluation_end_date,observations,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,final_growth_of_1,annualised_return_difference_vs_base,annualised_volatility_difference_vs_base,sharpe_ratio_difference_vs_base,maximum_drawdown_difference_vs_base,final_growth_difference_vs_base,higher_annualised_return_than_base,result_basis,annualisation_days_per_year,risk_free_rate_annual,transaction_cost_rate,turnover_rebalances,total_one_way_turnover,average_one_way_turnover_per_rebalance,annualised_one_way_turnover,turnover_definition,initial_establishment_included_in_turnover,estimation_window_type,estimation_window_observations,rebalance_rule,sentiment_lag_observed_trading_days,sentiment_missing_policy,tilt_rule,constraints
Equity Equal Weight,Base,Equal Weight,Equity,False,2021-01-04 to 2023-12-29,2021-01-04,2023-12-29,753,0.1264237978181748,0.16117980666586584,0.8192923665597752,-0.20249210152511699,1.4272168148150326,0.0,0.0,0.0,0.0,0.0,False,Gross of transaction costs,252,0.0,0.0,35,0.9533748669333082,0.027239281912380234,0.31905772439202346,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,Rolling complete equity-calendar observations,252,First observed equity trading day of each calendar month,0,Not applicable,Equal weight,Equity only; long-only; fully invested; no leverage
Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,2021-01-04 to 2023-12-29,2021-01-04,2023-12-29,753,0.12280438781665182,0.16079810572725367,0.8008304889509313,-0.203609841585922,1.4135573889972775,-0.0036194100015229935,-0.0003817009386121728,-0.01846187760884388,-0.0011177400608050059,-0.013659425817755144,False,Gross of transaction costs,252,0.0,0.0,35,1.3788471125369766,0.03939563178677076,0.46144684244265355,one-way turnover = 0.5 * sum(abs(target weight - pre-trade drifted weight)); initial portfolio establishment excluded,False,Rolling complete equity-calendar observations,252,First observed equity trading day of each calendar month,1,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 0.5 * lagged sector sentiment),Equity only; long-only; fully invested; no leverage
