rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2023-01-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.01354266478340671
2023-02-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.07314272105654038
2023-03-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06744583740614268
2023-04-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.05517713758426932
2023-05-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06883211256136379
2023-06-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.23890650039778719
2023-07-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.09482713991781432
2023-08-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.11831744440206025
2023-09-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.02413057370980151
2023-10-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.09461473169791709
2023-11-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06749043203027391
2023-12-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.10136292766872054
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,True,0.0
2021-02-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04573546134831942
2021-03-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.06775775218129512
2021-04-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03509260108878923
2021-05-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.0747582408704302
2021-06-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04172174268939164
2021-07-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04903974259352425
2021-08-02,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.024451784671162956
2021-09-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04060946333062587
2021-10-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03429572469883434
2021-11-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03517030755448468
2021-12-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.035916057174224636
2022-01-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03913507795630396
2022-02-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.054608127410295845
2022-03-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04159250723406857
2022-04-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03297601930324239
2022-05-02,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.04480745837108996
2022-06-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.0668727761648293
2022-07-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.043922040067420696
2022-08-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.038019354849486424
2022-09-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.02633493974704463
2022-10-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03977352362301022
2022-11-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.038868377968473616
2022-12-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.034334752832109655
2023-01-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.02870718149354705
2023-02-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.036508992597519926
2023-03-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.02130180502200508
2023-04-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03468938046122183
2023-05-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.02171490049579822
2023-06-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.031125691028957972
2023-07-03,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.0441462957438522
2023-08-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.030509156409318915
2023-09-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.03277279687160013
2023-10-02,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.026668034707894386
2023-11-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.02332384128745303
2023-12-01,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,False,0.032786079238401884
2021-01-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,True,0.0
2021-02-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.042088186294008456
2021-03-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.06266184162437842
2021-04-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.07670201195011474
2021-05-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.07731740987573564
2021-06-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.048918698406157514
2021-07-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.04770271068607585
2021-08-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.02044499784078052
2021-09-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.02591136127313789
2021-10-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03190680202467456
2021-11-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03753426269504093
2021-12-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.048574603003243226
2022-01-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.02808618986817998
2022-02-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.04026014764511763
2022-03-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03758976791593947
2022-04-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.022713796632811714
2022-05-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.04540255173894527
2022-06-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.056271281199972066
2022-07-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.044198311736308865
2022-08-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.039625315948641285
2022-09-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.021173072006299577
2022-10-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03364139441655445
2022-11-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03800965016121302
2022-12-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03769429609090981
2023-01-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.026800391581621136
2023-02-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03392682053679701
2023-03-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.017860689653488852
2023-04-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.027728985543027447
2023-05-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.02232557702517784
2023-06-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.028950210459828145
2023-07-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03972283699292109
2023-08-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03201294973341734
2023-09-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.026590322717369448
2023-10-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.022647600847787726
2023-11-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.03071730425985674
2023-12-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,False,0.04816050681179844
2021-01-04,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,True,0.0
2021-02-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.05260064289383626
2021-03-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.08261028090933682
2021-04-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.28827596681514406
2021-05-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.19342752790956202
2021-06-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.10792833406674503
2021-07-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1983105681623164
2021-08-02,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.07321756063063314
