strategy_name,tilt_strength,approved_design,evaluation_period,observations,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,final_growth_of_1,annualised_return_difference_vs_zero_multiplier,sharpe_ratio_difference_vs_zero_multiplier,final_growth_difference_vs_zero_multiplier,turnover_rebalances,total_one_way_turnover,average_one_way_turnover_per_rebalance,sentiment_missing_policy,tilt_rule,result_basis
Equity Equal Weight,0.0,False,2021-01-04 to 2023-12-29,753,0.1264237978181748,0.16117980666586584,0.8192923665597752,-0.20249210152511699,1.4272168148150326,0.0,0.0,0.0,35,0.9533748669333082,0.027239281912380234,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 0 * lagged sector sentiment),Gross of transaction costs
Equity Equal Weight + Sector Sentiment,0.25,False,2021-01-04 to 2023-12-29,753,0.12457281369540962,0.16097550613360745,0.8099063736037835,-0.20305888248229842,1.4202203981097599,-0.0018509841227651869,-0.00938599295599174,-0.006996416705272734,35,1.085767595995309,0.031021931314151686,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 0.25 * lagged sector sentiment),Gross of transaction costs
Equity Equal Weight + Sector Sentiment,0.5,True,2021-01-04 to 2023-12-29,753,0.12280438781665182,0.16079810572725367,0.8008304889509313,-0.203609841585922,1.4135573889972775,-0.0036194100015229935,-0.01846187760884388,-0.013659425817755144,35,1.3788471125369766,0.03939563178677076,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 0.5 * lagged sector sentiment),Gross of transaction costs
Equity Equal Weight + Sector Sentiment,0.75,False,2021-01-04 to 2023-12-29,753,0.12111134862760897,0.16064409806527088,0.7920462589514851,-0.20414467086299726,1.4071979374094332,-0.005312449190565838,-0.02724610760829016,-0.020018877405599378,35,1.7208655944839406,0.049167588413826874,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 0.75 * lagged sector sentiment),Gross of transaction costs
Equity Equal Weight + Sector Sentiment,1.0,False,2021-01-04 to 2023-12-29,753,0.11948750430734267,0.1605105583383667,0.7835370193051828,-0.2046633147695469,1.401116309894714,-0.006936293510832137,-0.035755347254592396,-0.02610050492031868,35,2.0794571045020844,0.059413060128630985,Missing prior sector score receives multiplier 1; no index imputation,target proportional to equal weight * (1 + 1 * lagged sector sentiment),Gross of transaction costs
