date,strategy_name,variant,portfolio_method,asset_family,uses_sentiment,daily_return,growth_of_1,drawdown,active_target_rebalance_date
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,-0.013701064199660195,0.9862989358003398,-0.013701064199660218,2021-01-04
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,-0.013728395573609525,0.9862716044263905,-0.013728395573609498,2021-01-04
2021-01-05,Equity Equal Weight,Base,Equal Weight,Equity,False,0.012741623294831667,0.998865985296401,-0.0011340147035989734,2021-01-04
2021-01-05,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.012359939232482804,0.9984618615238241,-0.0015381384761758987,2021-01-04
2021-01-06,Equity Equal Weight,Base,Equal Weight,Equity,False,0.013716586163369607,1.0125670166493783,0.0,2021-01-04
2021-01-06,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.014090921600978069,1.012531109336123,0.0,2021-01-04
2021-01-07,Equity Equal Weight,Base,Equal Weight,Equity,False,0.00979755852435766,1.0224877012548348,0.0,2021-01-04
2021-01-07,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.009569264474928126,1.0222202873104527,0.0,2021-01-04
2021-01-08,Equity Equal Weight,Base,Equal Weight,Equity,False,0.0025391197143721156,1.0250839199347939,0.0,2021-01-04
2021-01-08,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.0024943291057325707,1.0247700411255616,0.0,2021-01-04
2021-01-11,Equity Equal Weight,Base,Equal Weight,Equity,False,0.00024143705130121604,1.0253314131737592,0.0,2021-01-04
2021-01-11,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.00020361808365304838,1.0249787028375206,0.0,2021-01-04
2021-01-12,Equity Equal Weight,Base,Equal Weight,Equity,False,0.004053146990521043,1.029487232105351,0.0,2021-01-04
2021-01-12,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,0.003723433949680238,1.0287951433373652,0.0,2021-01-04
2021-01-13,Equity Equal Weight,Base,Equal Weight,Equity,False,-0.0003666870544489765,1.0291097324646175,-0.00036668705444897753,2021-01-04
